,TIME,NUM1,NUM2,NUM3,NUM4,NUM5,NUM6,BONUS_NUM
282,283,6,8,18,31,38,45,42
283,284,2,7,15,24,30,45,28
284,285,13,33,37,40,41,45,2
285,286,1,15,19,40,42,44,17
286,287,6,12,24,27,35,37,41
287,288,1,12,17,28,35,41,10
288,289,3,14,33,37,38,42,10
289,290,8,13,18,32,39,45,7
290,291,3,7,8,18,20,42,45
291,292,17,18,31,32,33,34,10
292,293,1,9,17,21,29,33,24
293,294,6,10,17,30,37,38,40
294,295,1,4,12,16,18,38,8
295,296,3,8,15,27,30,45,44
296,297,6,11,19,20,28,32,34
297,298,5,9,27,29,37,40,19
298,299,1,3,20,25,36,45,24
299,300,7,9,10,12,26,38,39
300,301,7,11,13,33,37,43,26
301,302,13,19,20,32,38,42,4
302,303,2,14,17,30,38,45,43
303,304,4,10,16,26,33,41,38
304,305,7,8,18,21,23,39,9
305,306,4,18,23,30,34,41,19
306,307,5,15,21,23,25,45,12
307,308,14,15,17,19,37,45,40
308,309,1,2,5,11,18,36,22
309,310,1,5,19,28,34,41,16
310,311,4,12,24,27,28,32,10
311,312,2,3,5,6,12,20,25
312,313,9,17,34,35,43,45,2
313,314,15,17,19,34,38,41,2
314,315,1,13,33,35,43,45,23
315,316,10,11,21,27,31,39,43
316,317,3,10,11,22,36,39,8
317,318,2,17,19,20,34,45,21
318,319,5,8,22,28,33,42,37
319,320,16,19,23,25,41,45,3
320,321,12,18,20,21,25,34,42
321,322,9,18,29,32,38,43,20
322,323,10,14,15,32,36,42,3
323,324,2,4,21,25,33,36,17
324,325,7,17,20,32,44,45,33
325,326,16,23,25,33,36,39,40
326,327,6,12,13,17,32,44,24
327,328,1,6,9,16,17,28,24
328,329,9,17,19,30,35,42,4
329,330,3,4,16,17,19,20,23
330,331,4,9,14,26,31,44,39
331,332,16,17,34,36,42,45,3
332,333,5,14,27,30,39,43,35
333,334,13,15,21,29,39,43,33
334,335,5,9,16,23,26,45,21
335,336,3,5,20,34,35,44,16
336,337,1,5,14,18,32,37,4
337,338,2,13,34,38,42,45,16
338,339,6,8,14,21,30,37,45
339,340,18,24,26,29,34,38,32
340,341,1,8,19,34,39,43,41
341,342,1,13,14,33,34,43,25
342,343,1,10,17,29,31,43,15
343,344,1,2,15,28,34,45,38
344,345,15,20,23,29,39,42,2
345,346,5,13,14,22,44,45,33
346,347,3,8,13,27,32,42,10
347,348,3,14,17,20,24,31,34
348,349,5,13,14,20,24,25,36
349,350,1,8,18,24,29,33,35
350,351,5,25,27,29,34,36,33
351,352,5,16,17,20,26,41,24
352,353,11,16,19,22,29,36,26
353,354,14,19,36,43,44,45,1
354,355,5,8,29,30,35,44,38
355,356,2,8,14,25,29,45,24
356,357,10,14,18,21,36,37,5
357,358,1,9,10,12,21,40,37
358,359,1,10,19,20,24,40,23
359,360,4,16,23,25,35,40,27
360,361,5,10,16,24,27,35,33
361,362,2,3,22,27,30,40,29
362,363,11,12,14,21,32,38,6
363,364,2,5,7,14,16,40,4
364,365,5,15,21,25,26,30,31
365,366,5,12,19,26,27,44,38
366,367,3,22,25,29,32,44,19
367,368,11,21,24,30,39,45,26
368,369,17,20,35,36,41,43,21
369,370,16,18,24,42,44,45,17
370,371,7,9,15,26,27,42,18
371,372,8,11,14,16,18,21,13
372,373,15,26,37,42,43,45,9
373,374,11,13,15,17,25,34,26
374,375,4,8,19,25,27,45,7
375,376,1,11,13,24,28,40,7
376,377,6,22,29,37,43,45,23
377,378,5,22,29,31,34,39,43
378,379,6,10,22,31,35,40,19
379,380,1,2,8,17,26,37,27
380,381,1,5,10,12,16,20,11
381,382,10,15,22,24,27,42,19
382,383,4,15,28,33,37,40,25
383,384,11,22,24,32,36,38,7
384,385,7,12,19,21,29,32,9
385,386,4,7,10,19,31,40,26
386,387,1,26,31,34,40,43,20
387,388,1,8,9,17,29,32,45
388,389,7,16,18,20,23,26,3
389,390,16,17,28,37,39,40,15
390,391,10,11,18,22,28,39,30
391,392,1,3,7,8,24,42,43
392,393,9,16,28,40,41,43,21
393,394,1,13,20,22,25,28,15
394,395,11,15,20,26,31,35,7
395,396,18,20,31,34,40,45,30
396,397,12,13,17,22,25,33,8
397,398,10,15,20,23,42,44,7
398,399,1,2,9,17,19,42,20
399,400,9,21,27,34,41,43,2
400,401,6,12,18,31,38,43,9
401,402,5,9,15,19,22,36,32
402,403,10,14,22,24,28,37,26
403,404,5,20,21,24,33,40,36
404,405,1,2,10,25,26,44,4
405,406,7,12,21,24,27,36,45
406,407,6,7,13,16,24,25,1
407,408,9,20,21,22,30,37,16
408,409,6,9,21,31,32,40,38
409,410,1,3,18,32,40,41,16
410,411,11,14,22,35,37,39,5
